HighestPrice,LowestPrice,FinalPricePercent,FinalPriceDiff,FinalPrice,LastTransactionPercent,LastTransactionDiff,LastTransaction,FirstPrice,YesterdayPrice,Value,Volume,Count,DateJalaali,DayOfWeek,WeekOfYear
6506,6162,4.57,283,6480,4.99,309,6506,6170,6197,895325832376,138177573,9851,1399/2/1,2,6
6243,5649,4.22,251,6197,2.02,120,6066,6243,5946,1186082526878,191387234,14385,1399/1/31,1,6
5946,5910,5,283,5946,5,283,5946,5946,5663,389829594273,65565430,5056,1399/1/30,0,6
5715,5390,4.04,220,5663,5,272,5715,5400,5443,699520854995,123535206,11079,1399/1/27,4,5
5590,5260,-1.45,-80,5443,-1.3,-72,5451,5260,5523,671225858131,123314843,16389,1399/1/26,3,5
5730,5402,0.02,1,5523,-0.4,-22,5500,5730,5522,635197662522,115016599,12856,1399/1/25,2,5
5561,5327,4.25,225,5522,4.98,264,5561,5330,5297,956454610526,173208702,15473,1399/1/24,1,5
5324,5157,4.46,226,5297,3.87,196,5267,5289,5071,1262188452568,238264769,21824,1399/1/23,0,5
5083,4945,4.75,230,5071,5,242,5083,5000,4841,848748596825,167361051,10689,1399/1/20,4,4
4898,4700,3.77,176,4841,4.99,233,4898,4738,4665,1172804723917,242271587,15572,1399/1/19,3,4
4718,4600,-0.7,-33,4665,-0.38,-18,4680,4700,4698,485364197156,104034987,11578,1399/1/18,2,4
4751,4600,0.71,33,4698,0.73,34,4699,4700,4665,562819215533,119810418,13873,1399/1/17,1,4
4703,4510,4.11,184,4665,3.77,169,4650,4577,4481,842542740512,180596289,17484,1399/1/16,0,4
4525,4414,-0.2,-9,4481,0.02,1,4491,4450,4490,473396809751,105642056,11024,1399/1/11,2,3
4550,4450,1.74,77,4490,1.16,51,4464,4500,4413,633070279824,140995529,15932,1399/1/10,1,3
4520,4329,-0.9,-40,4413,0.92,41,4494,4400,4453,1142219431513,258849936,29098,1399/1/9,0,3
4522,4400,0.95,42,4453,1.11,49,4460,4441,4411,486884045881,109339844,14626,1399/1/6,4,2
4549,4391,-4.57,-211,4411,-5,-231,4391,4525,4622,360775938993,81785766,9409,1399/1/5,3,2
4662,4536,1.87,85,4622,2.25,102,4639,4626,4537,504941751062,109237495,11748,1398/12/28,4,1
4608,4452,0.04,2,4537,1.43,65,4600,4585,4535,531308879158,117098437,10409,1398/12/27,3,1
4593,4446,2.67,118,4535,3.65,161,4578,4568,4417,626347189822,138110458,14198,1398/12/26,2,1
4550,4274,-1.78,-80,4417,0.04,2,4499,4380,4497,759679416515,171993669,14409,1398/12/25,1,1
4659,4483,-4.68,-221,4497,-4.98,-235,4483,4602,4718,468655832124,104211448,6623,1398/12/24,0,1
4814,4599,2.7,124,4718,1.65,76,4670,4600,4594,389687499494,82595898,10269,1398/12/21,4,52
4710,4501,-2.88,-136,4594,-4.55,-215,4515,4510,4730,822638674272,179063359,16223,1398/12/20,3,52
4777,4729,-4.96,-247,4730,-4.98,-248,4729,4729,4977,758214128076,160307128,9206,1398/12/19,2,52
5119,4818,0.22,11,4977,-0.32,-16,4950,4920,4966,1340504047266,269340186,19002,1398/12/17,0,52
5055,4820,3.11,150,4966,2.16,104,4920,5000,4816,1225855578493,246866390,17220,1398/12/14,4,51
4911,4720,2.95,138,4816,4.98,233,4911,4730,4678,1436255446524,298232723,18939,1398/12/13,3,51
4722,4601,1.63,75,4678,1.46,67,4670,4642,4603,896967871342,191761660,14317,1398/12/12,2,51
4647,4500,0.55,25,4603,0.5,23,4601,4537,4578,642444120564,139572044,13809,1398/12/11,1,51
4677,4536,-4.11,-196,4578,-4.99,-238,4536,4550,4774,1388418014269,303292073,23065,1398/12/10,0,51
4888,4700,1.74,82,4785,0.36,17,4720,4888,4703,712962076760,149012540,15436,1398/12/7,4,50
4737,4602,4.23,191,4703,4.99,225,4737,4665,4512,1749260033690,371914178,23517,1398/12/6,3,50
4650,4433,1.14,51,4512,3.79,169,4630,4590,4461,1064959438610,236031176,19688,1398/12/5,2,50
4511,4405,3.82,164,4461,4.84,208,4505,4411,4297,1343314620166,301117928,22558,1398/12/4,1,50
4396,4100,0.47,20,4297,1.71,73,4350,4100,4277,742622560388,172810546,13106,1398/12/3,0,50
4329,4235,-0.26,-11,4277,-1.12,-48,4240,4329,4288,737475500084,172411174,13927,1398/11/30,4,49
4376,4210,-0.95,-41,4288,-0.67,-29,4300,4370,4329,903031225341,210601472,16211,1398/11/29,3,49
4374,4255,3.86,161,4329,3.17,132,4300,4349,4168,1627863714674,376064567,24412,1398/11/28,2,49
4206,4010,4.04,162,4168,4.99,200,4206,4059,4006,1795509365858,430782117,18883,1398/11/27,1,49
4020,3929,1.56,61,3979,2.09,82,4000,3929,3918,710432462958,178530575,14256,1398/11/23,4,48
3990,3800,-0.18,-7,3918,0.1,4,3929,3950,3925,339556237003,86656376,9519,1398/11/21,2,48
4000,3898,-0.58,-23,3925,0.05,2,3950,4000,3948,306710158913,78140364,8194,1398/11/20,1,48
4020,3889,0.56,22,3948,-0.64,-25,3901,4020,3926,497579428853,126039935,11359,1398/11/19,0,48
3994,3899,-1.16,-46,3926,-0.6,-24,3948,3994,3972,362865913031,92421571,10366,1398/11/16,4,47
4069,3896,-0.72,-29,3972,-1.27,-51,3950,4063,4001,293878620711,73993133,8960,1398/11/15,3,47
4059,3899,3.39,131,4001,3.07,119,3989,3909,3870,681653855880,170381419,14119,1398/11/14,2,47
3910,3786,0.44,17,3870,1.17,45,3898,3810,3853,258979583049,66923282,8138,1398/11/13,1,47
3965,3796,-0.54,-21,3853,-1.91,-74,3800,3965,3874,254774349030,66129050,9321,1398/11/12,0,47
3940,3819,2.54,96,3874,3.49,132,3910,3840,3778,467258628548,120613900,12062,1398/11/8,3,46
3853,3688,0.35,13,3778,0.96,36,3801,3731,3765,341163734864,90299058,8657,1398/11/7,2,46
3869,3729,-1.34,-51,3765,-1.99,-76,3740,3869,3816,335504104574,89103849,10836,1398/11/6,1,46
3840,3799,0.39,15,3816,0.16,6,3807,3839,3801,395123958498,103554430,12940,1398/11/5,0,46
3840,3733,0.26,10,3801,1.19,45,3836,3780,3791,375209456234,98702175,11133,1398/11/2,4,45
3828,3748,-1.38,-53,3791,-2.45,-94,3750,3815,3844,442446848100,116697256,13167,1398/11/1,3,45
3922,3803,-1.76,-69,3844,-2.38,-93,3820,3910,3913,629881986249,163862388,18565,1398/10/30,2,45
3955,3888,-0.94,-37,3913,-1.01,-40,3910,3911,3950,496318714716,126845211,12247,1398/10/29,1,45
4000,3891,0.61,24,3950,0.33,13,3939,3980,3926,868987302707,219976080,19024,1398/10/28,0,45
3980,3850,-1.21,-48,3926,-1.36,-54,3920,3900,3974,412382736754,105050384,13169,1398/10/25,4,44
4017,3903,-0.05,-2,3974,-0.65,-26,3950,4000,3976,710215064885,178731503,17625,1398/10/24,3,44
4019,3899,11.84,421,3976,12.52,445,4000,4000,3555,2857062466399,718660988,37833,1398/10/23,2,44
5800,5530,3.46,191,5715,5,276,5800,5530,5524,742974876319,129997241,14770,1398/10/15,1,43
5544,5524,-4.99,-290,5524,-4.99,-290,5524,5524,5814,2319715067382,419929040,16803,1398/10/14,0,43
5855,5647,4.25,237,5814,3.98,222,5799,5650,5577,809630710787,139267200,12242,1398/10/11,4,42
5631,5455,1.2,66,5577,1.65,91,5602,5590,5511,394225887292,70687324,8095,1398/10/10,3,42
5549,5481,1.27,69,5511,1.53,83,5525,5499,5442,364380418286,66113626,7003,1398/10/9,2,42
5500,5381,1.53,82,5442,2.16,116,5476,5500,5360,265228929642,48734408,6186,1398/10/8,1,42
5439,5299,1.44,76,5360,1.89,100,5384,5300,5284,273851698307,51087866,6250,1398/10/7,0,42
5379,5252,-2.13,-115,5284,-1.85,-100,5299,5379,5399,222017014078,42018897,6509,1398/10/4,4,41
5462,5330,-0.86,-47,5399,-1.58,-86,5360,5432,5446,190002718589,35192423,5181,1398/10/3,3,41
5535,5250,1.55,83,5446,0.69,37,5400,5514,5363,373950445481,68670299,7614,1398/10/2,2,41
5460,5268,2.39,125,5363,3.67,192,5430,5296,5238,410185692475,76481176,7525,1398/10/1,1,41
5266,5196,1.06,55,5238,1.49,77,5260,5230,5183,209773618272,40049540,5315,1398/9/30,0,41
5224,5081,1.81,92,5183,2.04,104,5195,5110,5091,311707334832,60143651,5884,1398/9/27,4,40
5104,5020,1.43,72,5091,1.24,62,5081,5020,5019,334972704439,65796658,6041,1398/9/26,3,40
5060,4998,-0.57,-29,5019,-0.53,-27,5021,5060,5048,152044921159,30294915,3954,1398/9/25,2,40
5120,4961,2.25,111,5048,1.86,92,5029,4990,4937,390747053171,77412645,7271,1398/9/24,1,40
4980,4897,1.19,58,4937,1.8,88,4967,4915,4879,359125704815,72744710,6276,1398/9/23,0,40
4915,4839,-1.25,-62,4879,-0.93,-46,4895,4880,4941,164942453475,33806431,4417,1398/9/20,4,39
4979,4883,0.71,35,4941,-0.12,-6,4900,4950,4906,375149982078,75927443,6697,1398/9/19,3,39
4995,4865,0.06,3,4906,-0.51,-25,4878,4989,4903,243846573039,49707633,6596,1398/9/18,2,39
4831,4725,4.33,199,4800,4,184,4785,4740,4601,676727047883,140984936,11769,1398/9/16,0,39
4650,4570,-0.17,-8,4601,0.26,12,4621,4650,4609,195285681526,42445863,4365,1398/9/13,4,38
4653,4550,1.03,47,4609,1.27,58,4620,4590,4562,212945180448,46200501,5092,1398/9/12,3,38
4645,4491,1.74,78,4562,1.45,65,4549,4610,4484,300957193413,65976536,6267,1398/9/11,2,38
4577,4410,1.7,75,4484,2.06,91,4500,4446,4409,334526164107,74611238,6328,1398/9/10,1,38
4456,4372,0.25,11,4409,0.05,2,4400,4440,4398,214554578860,48659958,5052,1398/9/9,0,38
4425,4372,0.43,19,4398,0.02,1,4380,4417,4379,93703139613,21304838,2875,1398/9/6,4,37
4420,4361,0.25,11,4379,0.23,10,4378,4419,4368,91861087449,20976160,3155,1398/9/5,3,37
4397,4349,-0.14,-6,4368,0.05,2,4376,4390,4374,109680227213,25110536,3628,1398/9/4,2,37
4408,4350,-0.21,-9,4374,-0.52,-23,4360,4380,4383,105270447015,24068738,3096,1398/9/3,1,37
4400,4365,-0.63,-28,4383,-0.73,-32,4379,4400,4411,112728236604,25721985,3266,1398/9/2,0,37
4478,4393,-0.65,-29,4411,-0.81,-36,4404,4450,4440,116111314511,26322584,2947,1398/8/29,4,36
4497,4419,-0.05,-2,4440,-0.29,-13,4429,4473,4442,69381947630,15624847,2441,1398/8/28,3,36
4499,4415,-0.22,-10,4442,-0.74,-33,4419,4488,4452,91321105038,20557669,2505,1398/8/27,2,36
4529,4397,-0.51,-23,4452,-0.89,-40,4435,4439,4475,221412165013,49731900,3229,1398/8/26,1,36
4549,4452,-0.16,-7,4475,-0.65,-29,4453,4549,4482,102925942926,22998443,2731,1398/8/25,0,36
4500,4452,-0.11,-5,4482,0.13,6,4493,4480,4487,145679336533,32505242,3582,1398/8/22,4,35
4549,4475,-0.27,-12,4487,-0.42,-19,4480,4500,4499,91940407936,20490208,3135,1398/8/21,3,35
4551,4480,0.02,1,4499,0,0,4498,4500,4498,101266256279,22507786,2500,1398/8/20,2,35
4532,4481,-0.75,-34,4498,-0.49,-22,4510,4499,4532,102136922185,22707837,2446,1398/8/19,1,35
4610,4500,0.44,20,4532,-0.04,-2,4510,4550,4512,115338321682,25448947,3454,1398/8/18,0,35
4598,4474,-0.2,-9,4512,0.42,19,4540,4510,4521,145137576068,32163735,3646,1398/8/14,3,34
4590,4475,-0.72,-33,4521,-1.21,-55,4499,4575,4554,147401528586,32603577,3807,1398/8/13,2,34
4598,4528,-0.31,-14,4554,-0.77,-35,4533,4579,4568,110548572326,24274233,3308,1398/8/12,1,34
4645,4500,-0.95,-44,4568,-1.24,-57,4555,4631,4612,156880037572,34343570,4679,1398/8/11,0,34
4639,4584,0.85,39,4612,0.57,26,4599,4591,4573,219154113052,47515122,5249,1398/8/8,4,33
4610,4529,-0.07,-3,4573,0.09,4,4580,4600,4576,139849441824,30583169,3401,1398/8/6,2,33
4614,4559,0.07,3,4576,-0.02,-1,4572,4610,4573,131728829738,28788791,2887,1398/8/4,0,33
4681,4544,-1.53,-71,4573,-2.02,-94,4550,4680,4644,244578085742,53479735,4545,1398/8/1,4,32
4710,4560,1.71,78,4644,1.6,73,4639,4680,4566,180562020731,38879978,4211,1398/7/30,3,32
4650,4460,2.42,108,4566,3.93,175,4633,4551,4458,316818881156,69380067,5755,1398/7/29,2,32
4678,4380,-1.46,-66,4458,-2.74,-124,4400,4561,4524,190179951542,42658937,4235,1398/7/28,1,32
4600,4460,1.05,47,4524,0.51,23,4500,4460,4477,127863527821,28264094,3403,1398/7/24,4,31
4680,4420,-2.57,-118,4477,-3.16,-145,4450,4580,4595,279759324177,62482126,4976,1398/7/23,3,31
4689,4500,-0.91,-42,4595,-2.11,-98,4539,4650,4637,189790706989,41300290,4188,1398/7/22,2,31
4741,4570,1.2,55,4637,0,0,4582,4740,4582,194894312879,42034074,4607,1398/7/21,1,31
4628,4442,3.95,174,4582,4.99,220,4628,4451,4408,620188339911,135353076,7729,1398/7/20,0,31
4451,4323,0.55,24,4408,1.48,65,4449,4323,4384,224224921018,50865537,3972,1398/7/17,4,30
4529,4302,-1.92,-86,4384,-2.71,-121,4349,4451,4470,175434850605,40019517,4095,1398/7/16,3,30
4545,4420,0.38,17,4470,-0.07,-3,4450,4500,4453,207787542204,46489109,4091,1398/7/15,2,30
4499,4360,-2.3,-105,4453,-1.71,-78,4480,4477,4558,180078427726,40436555,3822,1398/7/14,1,30
4639,4549,-1.33,-62,4585,-1.01,-47,4600,4600,4647,196769823893,42915226,4145,1398/7/10,4,29
4784,4530,-1.8,-85,4647,-2.7,-128,4604,4781,4732,343469862193,73912719,6502,1398/7/9,3,29
4801,4688,0.85,40,4732,1.88,88,4780,4735,4692,273709771150,57843822,5254,1398/7/8,2,29
4800,4613,-0.66,-31,4692,-0.47,-22,4701,4800,4723,172965675206,36864120,5519,1398/7/7,1,29
4739,4572,4.63,209,4723,4.87,220,4734,4575,4514,644223638595,136413113,10288,1398/7/6,0,29
4563,4455,0.09,4,4514,0.35,16,4526,4499,4510,174433353342,38639739,5035,1398/7/3,4,28
4580,4430,-0.29,-13,4510,-0.4,-18,4505,4580,4523,180573012516,40034355,4587,1398/7/2,3,28
4579,4421,3.52,154,4523,4.37,191,4560,4487,4369,334480961793,73957861,6586,1398/7/1,2,28
4444,4270,1.53,66,4369,2.72,117,4420,4299,4303,327418001188,74938697,6080,1398/6/31,1,28
4375,4245,0.28,12,4303,0.02,1,4292,4245,4291,111608785904,25934730,4186,1398/6/30,0,28
4349,4200,-2.52,-111,4291,-1.27,-56,4346,4344,4402,223632867324,52116075,5032,1398/6/27,4,27
4480,4360,-2.16,-97,4402,-2.89,-130,4369,4475,4499,248927730391,56546079,6888,1398/6/26,3,27
4559,4466,0.33,15,4499,-0.25,-11,4473,4520,4484,264229174161,58734351,6141,1398/6/25,2,27
4521,4440,-0.55,-25,4484,-0.2,-9,4500,4516,4509,222063647186,49522402,6006,1398/6/24,1,27
4581,4450,1.85,82,4509,2.6,115,4542,4480,4427,355732238765,78897157,7152,1398/6/23,0,27
4480,4375,-0.02,-1,4427,1.02,45,4473,4467,4428,196478879475,44385226,5600,1398/6/20,4,26
4491,4400,-1.18,-53,4428,-1.47,-66,4415,4482,4481,241044369552,54437544,8548,1398/6/17,1,26
4518,4435,-0.18,-8,4481,-0.2,-9,4480,4518,4489,302080954529,67416432,10081,1398/6/16,0,26
4540,4433,2.49,109,4489,2.74,120,4500,4490,4380,633614887082,141142184,12954,1398/6/13,4,25
4432,4173,3.77,159,4380,4.95,209,4430,4173,4221,777440531579,177510532,13839,1398/6/12,3,25
4365,4123,-2.72,-118,4221,-3.2,-139,4200,4365,4339,253079581326,59960593,6463,1398/6/11,2,25
4442,4286,1.66,71,4339,1.22,52,4320,4380,4268,330168607521,76090189,8348,1398/6/10,1,25
4286,4180,4.56,186,4268,5,204,4286,4180,4082,805225517388,188663037,11464,1398/6/9,0,25
4128,3962,1.04,42,4082,1.73,70,4110,4028,4040,244284147596,59847896,5474,1398/6/6,4,24
4075,4000,1.61,64,4040,0.78,31,4007,4043,3976,268783994130,66537758,6591,1398/6/5,3,24
4010,3883,2.77,107,3976,3.08,119,3988,3884,3869,320323818717,80567372,7344,1398/6/4,2,24
3900,3836,-0.03,-1,3869,0.18,7,3877,3870,3870,153787741441,39748870,4157,1398/6/3,1,24
3928,3847,-0.79,-31,3870,-0.82,-32,3869,3928,3901,177391267430,45831957,6045,1398/6/2,0,24
3969,3870,0.15,6,3901,0.59,23,3918,3969,3895,135301123133,34680392,4050,1398/5/30,4,23
3918,3860,-0.18,-7,3895,-0.26,-10,3892,3918,3902,121651681965,31231287,3218,1398/5/28,2,23
3938,3890,-0.74,-29,3902,-0.81,-32,3899,3890,3931,84596348834,21677522,2448,1398/5/27,1,23
4027,3880,-1.11,-44,3931,-2.14,-85,3890,3996,3975,109916800237,27961634,4198,1398/5/26,0,23
3989,3935,2.85,110,3975,2.74,106,3971,3976,3865,164191515886,41310406,5071,1398/5/23,4,22
3914,3805,0.94,36,3865,1.85,71,3900,3880,3829,115769774056,29955942,4676,1398/5/22,3,22
