HighestPrice,LowestPrice,FinalPricePercent,FinalPriceDiff,FinalPrice,LastTransactionPercent,LastTransactionDiff,LastTransaction,FirstPrice,YesterdayPrice,Value,Volume,Count,DateJalaali,DayOfWeek,WeekOfYear
20452,20452,3.91,762,20241,5,973,20452,20452,19479,43502181176,2127038,181,1399/2/1,2,6
19479,19479,5,927,19479,5,927,19479,19479,18552,65529888270,3364130,241,1399/1/31,1,6
19329,19329,0.78,143,18552,5,920,19329,19329,18409,8141858025,421225,126,1399/1/30,0,6
18988,18988,1.8,325,18409,5,904,18988,18988,18084,20655279316,1087807,224,1399/1/27,4,5
18364,18364,3.4,594,18084,5,874,18364,18364,17490,37731868060,2054665,489,1399/1/26,3,5
17778,17778,3.3,558,17490,5,846,17778,17778,16932,35412780432,1991944,167,1399/1/25,2,5
17539,17539,1.36,228,16932,5,835,17539,17539,16704,14445348407,823613,161,1399/1/24,1,5
17374,17374,0.95,157,16704,5,827,17374,17374,16547,9994167638,575237,168,1399/1/23,0,5
17075,16400,1.75,285,16547,5,813,17075,16400,16262,19784039837,1162462,360,1399/1/20,4,4
16789,16000,-1.14,-188,16262,-0.84,-138,16312,16000,16450,59769274956,3675348,1741,1399/1/19,3,4
16651,16004,-2.35,-396,16450,-2.93,-494,16352,16651,16846,32801077858,2019693,1137,1399/1/18,2,4
17498,16533,-0.89,-151,16846,-1.78,-303,16694,17498,16997,38163095104,2272627,1219,1399/1/17,1,4
17004,16800,4.95,802,16997,5,809,17004,17004,16195,52899331016,3112349,984,1399/1/16,0,4
16499,15640,-1.21,-199,16195,-1.12,-184,16210,16000,16394,24485950854,1532014,1034,1399/1/11,2,3
17090,15830,0.47,76,16394,-1,-163,16155,16898,16318,35113795145,2137053,1206,1399/1/10,1,3
16559,15600,3.47,547,16318,5,788,16559,16300,15771,48202492590,2946443,1102,1399/1/9,0,3
16067,15200,3.06,469,15771,5,765,16067,15629,15302,53571531197,3396887,950,1399/1/6,4,2
15700,15160,0.35,54,15302,0.5,76,15324,15700,15248,27275571641,1777239,985,1399/1/5,3,2
16058,14772,-1.94,-301,15248,3.27,509,16058,15003,15549,49493836076,3245968,1315,1398/12/28,4,1
15910,15307,-3.49,-563,15549,-5,-805,15307,15610,16112,33025716389,2154513,507,1398/12/27,3,1
17025,15605,-1.01,-165,16112,-2.25,-367,15910,17020,16277,29952403522,1870467,818,1398/12/26,2,1
16286,15714,-1.6,-264,16277,-3.28,-542,15999,15714,16541,15974773802,1013633,372,1398/12/25,1,1
16300,15846,-0.83,-139,16541,-5,-834,15846,15846,16680,8237924932,518867,271,1398/12/24,0,1
17300,16512,-4.03,-701,16680,-5,-869,16512,16715,17381,49434562458,2963686,1420,1398/12/21,4,52
17401,17381,-5,-914,17381,-5,-914,17381,17381,18295,47893767132,2755490,610,1398/12/20,3,52
17492,17492,-0.64,-117,18295,-5,-920,17492,17492,18412,5733580236,327783,135,1398/12/19,2,52
19000,18360,-4.73,-914,18412,-5,-966,18360,19000,19326,52770379968,2866082,933,1398/12/17,0,52
19881,18415,2.06,391,19326,2.03,385,19320,19881,18935,63632477491,3292533,1414,1398/12/14,4,51
18986,18403,4.72,853,18935,5,904,18986,18790,18082,100056279390,5284211,1438,1398/12/13,3,51
18231,17017,4.14,719,18082,5,868,18231,17600,17363,128485448442,7105819,1505,1398/12/12,2,51
18000,16545,-0.3,-52,17363,-1.23,-215,17200,17800,17415,74712711934,4303100,1971,1398/12/11,1,51
17900,16520,0.39,68,17415,-0.08,-14,17333,17900,17347,87191272360,5006623,2621,1398/12/10,0,51
17369,16892,4.86,804,17346,5,827,17369,17362,16542,83744159427,4827819,664,1398/12/7,4,50
17050,15911,0.24,40,16542,2.35,388,16890,17050,16502,84995614121,5138121,2355,1398/12/6,3,50
16686,16000,3.84,610,16502,4.96,788,16680,16249,15892,95677088429,5797903,2191,1398/12/5,2,50
