HighestPrice,LowestPrice,FinalPricePercent,FinalPriceDiff,FinalPrice,LastTransactionPercent,LastTransactionDiff,LastTransaction,FirstPrice,YesterdayPrice,Value,Volume,Count,DateJalaali,DayOfWeek,WeekOfYear
18376,18376,5,875,18376,5,875,18376,18376,17501,72271282792,3932917,310,1399/1/31,1,6
17501,17501,5,833,17501,5,833,17501,17501,16668,108126340795,6178295,712,1399/1/30,0,6
16748,16000,4.49,716,16667,5,797,16748,16000,15951,218976858545,13137999,2273,1399/1/27,4,5
16345,15571,-2.65,-435,15951,-3.58,-586,15800,15662,16386,161612284923,10131648,3169,1399/1/26,3,5
17297,15880,-0.6,-99,16386,-1.73,-285,16200,17297,16485,227767785012,13900386,3671,1399/1/25,2,5
16510,16120,4.84,761,16485,4.62,726,16450,16400,15724,357571707177,21690334,2276,1399/1/24,1,5
15846,15400,4.19,632,15724,5,754,15846,15590,15092,247007505974,15709113,2231,1399/1/23,0,5
15093,15060,4.99,717,15092,4.99,718,15093,15090,14375,269888829980,17882597,1336,1399/1/20,4,4
14975,13800,0.77,110,14375,3.75,535,14800,14429,14265,338603311977,23555210,4644,1399/1/19,3,4
15198,14141,-4.17,-620,14265,-2.59,-386,14499,15198,14885,286302012266,20069568,4736,1399/1/18,2,4
15096,14522,3.53,507,14885,2.45,352,14730,15096,14378,236876327891,15914108,4902,1399/1/17,1,4
14378,14378,4.99,684,14378,4.99,684,14378,14378,13694,189397094978,13172701,794,1399/1/16,0,4
13868,13250,3.68,486,13694,5,660,13868,13600,13208,210035531083,15337410,2883,1399/1/11,2,3
13241,13000,4.73,597,13208,4.84,610,13221,13180,12611,235448633305,17825655,3303,1399/1/10,1,3
12640,12200,4.75,572,12611,4.99,601,12640,12640,12039,160630817120,12737331,3035,1399/1/9,0,3
12407,11500,1.88,222,12039,4.99,590,12407,11500,11817,185513259305,15408996,4068,1399/1/6,4,2
12555,11747,-4.43,-548,11817,-5,-618,11747,12377,12365,71619136593,6060778,1914,1399/1/5,3,2
12600,11850,-0.86,-107,12365,1.03,128,12600,12350,12472,206319525834,16685673,4249,1398/12/28,4,1
12998,12451,-4.84,-634,12472,-5,-655,12451,12998,13106,321178594452,25752675,3226,1398/12/27,3,1
13550,12600,1.51,195,13106,-1.25,-161,12750,13006,12911,229143352070,17484420,4245,1398/12/26,2,1
13300,12905,-4.95,-673,12911,-5,-679,12905,12905,13584,438438775131,33957248,3731,1398/12/25,1,1
13294,13294,-2.92,-409,13584,-5,-699,13294,13294,13993,27820765914,2092731,468,1398/12/24,0,1
14200,13986,-4.95,-729,13993,-5,-736,13986,13986,14722,270007387445,19295731,2796,1398/12/21,4,52
14260,14260,-1.92,-288,14722,-5,-750,14260,14260,15010,17692938140,1240739,387,1398/12/20,3,52
14614,14614,-2.42,-373,15010,-5,-769,14614,14614,15383,22843523364,1563126,519,1398/12/19,2,52
16150,15312,-4.55,-734,15383,-4.99,-805,15312,15500,16117,382248701988,24849512,3365,1398/12/17,0,52
16281,15101,3.94,611,16117,4.97,770,16276,16000,15506,494521447892,30683338,4280,1398/12/14,4,51
15566,15166,4.59,681,15506,5,741,15566,15559,14825,525341264658,33878952,5156,1398/12/13,3,51
14829,14620,4.97,702,14825,5,706,14829,14829,14123,286305781833,19312236,1688,1398/12/12,2,51
14229,13650,4.21,571,14123,5,677,14229,13700,13552,201354124168,14257327,1374,1398/12/11,1,51
13999,13429,-4.12,-583,13552,-4.99,-706,13429,13710,14135,261173682160,19272207,3584,1398/12/10,0,51
14175,13900,4.83,652,14152,3.78,510,14010,14175,13500,390138726843,27566999,3292,1398/12/7,4,50
13969,12800,1.47,196,13500,5,665,13969,13290,13304,390609389191,28933482,5551,1398/12/6,3,50
14000,12983,-1.13,-152,13304,-2.37,-319,13137,14000,13456,285628719950,21468722,4225,1398/12/5,2,50
13489,13110,4.74,609,13456,4.85,623,13470,13187,12847,209519254222,15570137,2837,1398/12/4,1,50
13450,12544,-2.7,-357,12847,-2.3,-304,12900,12544,13204,210309693316,16370872,3712,1398/12/3,0,50
13600,12900,0.72,94,13204,-0.9,-118,12992,13099,13110,188920800868,14307800,4191,1398/11/30,4,49
13800,12906,-3.5,-475,13110,-4.68,-636,12949,13800,13585,395578038872,30174765,5794,1398/11/29,3,49
13644,13100,4.54,590,13585,4.98,647,13642,13500,12995,584274952812,43009237,6475,1398/11/28,2,49
13207,12579,3.31,416,12995,4.99,628,13207,12998,12579,395716322627,30450687,4588,1398/11/27,1,49
12579,12579,5,599,12579,5,599,12579,12579,11980,104990711553,8346507,878,1398/11/26,0,49
11438,11000,4.79,522,11416,4.99,544,11438,11438,10894,733733248061,64273501,4887,1398/11/21,2,48
10894,10894,4.99,518,10894,4.99,518,10894,10894,10376,72039679790,6612785,722,1398/11/20,1,48
10469,10060,4.06,405,10376,4.99,498,10469,10379,9971,358424690406,34544586,3740,1398/11/19,0,48
10103,9885,-0.49,-49,9971,0.8,80,10100,10000,10020,124664817545,12502208,2987,1398/11/16,4,47
10252,9900,-2.57,-264,10020,-1.67,-172,10112,10250,10284,130167303600,12990167,2800,1398/11/15,3,47
10364,9900,4.18,413,10284,0.29,29,9900,10299,9871,485321657845,47191597,6485,1398/11/14,2,47
10207,9758,-3.89,-400,9871,-0.69,-71,10200,9758,10271,626852312540,63505576,8892,1398/11/13,1,47
10700,10185,-4.2,-450,10271,-5,-536,10185,10700,10721,191878695518,18681416,3535,1398/11/12,0,47
11107,10500,-0.63,-68,10721,-0.92,-99,10690,10960,10789,158332294886,14768014,3195,1398/11/8,3,46
10842,10420,4.48,463,10789,5,516,10842,10511,10326,421420917835,39059424,3651,1398/11/7,2,46
10497,9999,3.28,328,10326,4.99,499,10497,10397,9998,279306475820,27047907,3024,1398/11/6,1,46
10301,9750,-0.83,-84,9998,2.16,218,10300,10084,10082,182171147824,18221161,3600,1398/11/5,0,46
10480,9700,0.38,38,10082,-0.44,-44,10000,10100,10044,159034053270,15774702,2758,1398/11/2,4,45
10048,9900,4.95,474,10044,4.98,477,10047,10048,9570,757997036282,75464207,4374,1398/11/1,3,45
9699,9070,3.59,332,9570,4.99,461,9699,9210,9238,356635666961,37266435,2430,1398/10/30,2,45
9339,9170,0.22,20,9238,-0.2,-18,9200,9339,9218,93689608047,10142253,1965,1398/10/29,1,45
9297,9100,2.83,254,9218,3.64,326,9290,9150,8964,133404212351,14472247,2491,1398/10/28,0,45
9080,8832,-0.44,-40,8964,-0.04,-4,9000,9000,9004,128009414174,14280206,2372,1398/10/25,4,44
9297,8850,-0.67,-61,9004,-0.22,-20,9045,9297,9065,130232141006,14463797,2507,1398/10/24,3,44
9198,8909,2.2,195,9065,3.04,270,9140,8990,8870,223111781399,24613186,3538,1398/10/23,2,44
8909,8670,4.54,385,8870,5,424,8909,8820,8485,368041221180,41492128,3659,1398/10/22,1,44
8485,8485,2,166,8485,2,166,8485,8485,8319,943680691140,111217524,5159,1398/10/21,0,44
8480,8317,-1.97,-167,8319,-1.72,-146,8340,8317,8486,136740303692,16436219,1026,1398/10/18,4,43
8848,8258,-2.37,-206,8486,-4.99,-434,8258,8800,8692,39871035287,4698564,1090,1398/10/17,3,43
8920,8500,-1.7,-150,8692,-0.14,-12,8830,8500,8842,74114849610,8526980,1306,1398/10/15,1,43
8850,8842,-5,-465,8842,-5,-465,8842,8842,9307,129680856064,14666442,1239,1398/10/14,0,43
9379,9013,1.8,165,9307,1.73,158,9300,9190,9142,48440847479,5205003,1161,1398/10/11,4,42
