HighestPrice,LowestPrice,FinalPricePercent,FinalPriceDiff,FinalPrice,LastTransactionPercent,LastTransactionDiff,LastTransaction,FirstPrice,YesterdayPrice,Value,Volume,Count,DateJalaali,DayOfWeek,WeekOfYear
45428,45428,5,2163,45428,5,2163,45428,45428,43265,354787410352,7809884,404,1399/1/31,1,6
43265,43245,5,2060,43265,5,2060,43265,43265,41205,627758091822,14509634,2171,1399/1/30,0,6
41249,39000,4.89,1920,41205,5,1964,41249,39875,39285,913359164912,22166347,1534,1399/1/27,4,5
40200,38771,-3.17,-1287,39285,-1.72,-699,39873,38771,40572,213752142028,5441084,1431,1399/1/26,3,5
42222,39800,-1.03,-421,40572,-0.23,-93,40900,42222,40993,160538698519,3956877,1768,1399/1/25,2,5
41057,39001,4.84,1891,40993,5,1955,41057,39460,39102,744372667546,18158368,1472,1399/1/24,1,5
39483,37200,3.99,1499,39102,3.18,1197,38800,37999,37603,194386540519,4971211,1556,1399/1/23,0,5
38666,37150,1.76,651,37603,1.48,548,37500,38100,36952,70533022905,1866512,1321,1399/1/20,4,4
37882,34500,2.42,873,36952,4.99,1800,37879,37000,36079,325431484292,8806817,2841,1399/1/19,3,4
36079,35900,5,1718,36079,5,1718,36079,36079,34361,510242412879,14142428,1474,1399/1/18,2,4
35359,35359,2.03,685,34361,5,1683,35359,35359,33676,34528487808,976512,141,1399/1/17,1,4
33676,33676,5,1603,33676,5,1603,33676,33676,32073,88118844216,2616666,199,1399/1/16,0,4
32715,30550,2.94,915,32073,5,1557,32715,30550,31158,73486361445,2288057,1015,1399/1/11,2,3
31232,29800,4.75,1413,31158,5,1487,31232,30386,29745,494596073669,15873843,1398,1399/1/10,1,3
30699,29000,0.34,101,29745,1.29,381,30025,30699,29644,71811049139,2414257,1421,1399/1/9,0,3
30238,28750,0.88,258,29644,2.08,611,29997,29890,29386,115303639070,3889582,1567,1399/1/6,4,2
30312,28765,-2.09,-626,29386,-3.27,-982,29030,30000,30012,45162780301,1554860,835,1399/1/5,3,2
30949,29810,1.11,329,30012,1.07,317,30000,30949,29683,704480847740,23473072,1404,1398/12/28,4,1
31187,28280,-0.06,-19,29683,0.33,98,29800,30200,29702,58579763736,1973754,1063,1398/12/27,3,1
30261,29902,3.06,882,29702,4.98,1434,30254,30239,28820,47882930378,1588017,960,1398/12/26,2,1
30364,27500,-0.34,-99,28820,2.63,761,29680,27500,28919,129763566393,4502600,1291,1398/12/25,1,1
30248,28891,-4.91,-1492,28919,-5,-1520,28891,30248,30411,131518700446,4547772,668,1398/12/24,0,1
31820,30248,-4.49,-1428,30411,-5,-1591,30248,30248,31839,184468221448,6065804,1540,1398/12/21,4,52
31012,31012,-2.47,-805,31839,-5,-1632,31012,31012,32644,36721650332,1184111,360,1398/12/20,3,52
31210,31210,-0.63,-208,32644,-5,-1642,31210,31210,32852,9466117840,303304,285,1398/12/19,2,52
33600,31203,1.67,541,32852,3.99,1289,33600,31203,32311,82151592825,2500678,1241,1398/12/17,0,52
